datetime,plant_name,procurement_market,electricity_price_EUR_per_MWh_el,electricity_procured_MWh_el,charged_heat_MWh_th,charging_cost_EUR,charged_heat_cost_EUR_per_MWh_th,thermal_inventory_MWh_th,weighted_average_inventory_cost_EUR_per_MWh_th,thermal_inventory_day_ahead_MWh_th,thermal_inventory_intraday_continuous_MWh_th,thermal_inventory_afrr_energy_MWh_th,thermal_inventory_other_MWh_th
2025-01-01 00:00:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 00:15:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 00:30:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 00:45:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:15:00+01:00,plant_1,afrr_energy,40.95,0.459,0.43605,18.79605,43.10526315789474,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:30:00+01:00,plant_1,day_ahead,51.53,4.0,3.8,206.12,54.242105263157896,2.195,54.242105263157896,2.195,0.0,0.0,0.0
2025-01-01 01:45:00+01:00,plant_1,day_ahead,51.53,4.0,3.8,206.12,54.242105263157896,4.387805,54.242105263157896,4.387805,0.0,0.0,0.0
2025-01-01 02:00:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,2.778417195,54.242105263157896,2.778417195,0.0,0.0,0.0
2025-01-01 02:15:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,1.1706387778049998,54.242105263157896,1.1706387778049998,0.0,0.0,0.0
2025-01-01 02:30:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:45:00+01:00,plant_1,afrr_energy,42.91,1.6894736842105265,1.605,72.49531578947368,45.16842105263158,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:15:00+01:00,plant_1,no_charge,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
